Date,Open,High,Low,Close,Adj Close,Volume
2020-08-04,10.322663,11.074462,10.287248,10.735139,10.735139,28230329769
2020-08-05,10.743476,10.879084,10.608737,10.673223,10.673223,20556593816
2020-08-06,10.673872,10.918842,10.522889,10.789707,10.789707,20869140485
2020-08-07,10.792098,11.007028,10.127300,10.440227,10.440227,46557246207
2020-08-08,10.435275,11.060583,10.363137,10.937270,10.937270,24422860195
2020-08-09,10.977385,11.404895,10.707064,10.896957,10.896957,32026552809
2020-08-10,10.907246,10.998043,10.698893,10.771306,10.771306,23349121326
2020-08-11,10.760380,10.830290,9.966937,10.254960,10.254960,44402225052
2020-08-12,10.254065,10.382802,9.339428,10.273153,10.273153,32490207780
2020-08-13,10.280694,10.711698,9.999773,10.568495,10.568495,35213480923
2020-08-14,10.573966,10.657143,10.337259,10.355240,10.355240,26628242577
2020-08-15,10.351192,10.526954,10.280096,10.352664,10.352664,25712914881
2020-08-16,10.355756,10.417341,10.212680,10.371898,10.371898,21314894147
2020-08-17,10.371898,10.788408,10.352800,10.533301,10.533301,31814388737
2020-08-18,10.525702,10.694526,10.158566,10.248841,10.248841,25407741930
2020-08-19,10.248841,10.289071,9.608554,9.691997,9.691997,28735848287
2020-08-20,9.694548,10.041511,9.577827,10.021684,10.021684,23549430216
2020-08-21,10.013764,10.040626,9.225834,9.273281,9.273281,27201952757
2020-08-22,9.272296,9.421943,8.994355,9.386815,9.386815,22186505323
2020-08-23,9.377505,9.415815,9.028803,9.110153,9.110153,17399464841
2020-08-24,9.109102,9.359308,9.056306,9.236264,9.236264,20627439857
2020-08-25,9.238992,9.243920,8.045544,8.410625,8.410625,32060400089
2020-08-26,8.414670,8.746401,8.259666,8.561200,8.561200,23374552102
2020-08-27,8.559166,8.618790,7.708776,7.880884,7.880884,26701488599
2020-08-28,7.884597,8.099367,7.868450,8.004102,8.004102,20159491530
2020-08-29,8.005665,8.603349,7.955052,8.534952,8.534952,23069538992
2020-08-30,8.531757,8.657064,8.357590,8.588024,8.588024,21722397104
2020-08-31,8.592070,9.283133,8.367026,9.009957,9.009957,33308392915
2020-09-01,9.004173,9.305137,8.814334,9.163299,9.163299,32974771813
2020-09-02,9.168114,9.237340,8.209714,8.468964,8.468964,31307632060
2020-09-03,8.463464,8.527105,7.019906,7.062611,7.062611,35724547347
2020-09-04,7.050389,7.618430,6.876526,7.503710,7.503710,37694250968
2020-09-05,7.499645,7.614801,6.401784,6.586546,6.586546,35244315509
2020-09-06,6.586546,6.972212,6.360600,6.820390,6.820390,33316436086
2020-09-07,6.821328,6.877871,6.386993,6.854888,6.854888,34021379324
2020-09-08,6.847799,7.103649,6.558076,6.715412,6.715412,45016196302
2020-09-09,6.725612,7.021826,6.622296,6.845022,6.845022,41988654070
2020-09-10,6.851238,7.338937,6.851238,7.144294,7.144294,59507074754
2020-09-11,7.144294,7.165839,6.864563,7.126416,7.126416,56664883122
2020-09-12,7.135447,7.252865,7.003777,7.171183,7.171183,51375816029
2020-09-13,7.171183,7.329329,6.828781,6.969906,6.969906,56700931173
2020-09-14,6.973614,7.208204,6.876140,7.102791,7.102791,62513905249
2020-09-15,7.105776,7.182122,6.868379,6.882293,6.882293,59869479004
2020-09-16,6.875046,6.896237,6.612803,6.740932,6.740932,60489303615
2020-09-17,6.741304,6.954452,6.703279,6.932795,6.932795,60752267004
2020-09-18,6.932795,6.932795,6.626026,6.704481,6.704481,51471253362
2020-09-19,6.689963,6.850877,6.671436,6.746867,6.746867,45476044014
2020-09-20,6.747250,6.789801,6.504293,6.576438,6.576438,50216805260
2020-09-21,6.578340,6.636206,5.774251,5.917867,5.917867,41697240526
2020-09-22,5.919350,6.101974,5.875325,6.009176,6.009176,23293742672
2020-09-23,6.009176,6.080455,5.634201,5.668643,5.668643,21751993502
2020-09-24,5.666896,6.157108,5.609671,6.128231,6.128231,27603447382
2020-09-25,6.128616,7.243943,6.104856,7.142133,7.142133,48485094491
2020-09-26,7.140922,7.332944,6.856258,7.041983,7.041983,32303175324
2020-09-27,7.044034,7.537158,6.994681,7.458804,7.458804,36485816896
2020-09-28,7.458804,7.853426,7.411477,7.427838,7.427838,42284073008
2020-09-29,7.428395,7.630374,7.225434,7.456387,7.456387,33206504688
2020-09-30,7.454916,7.452394,7.167005,7.437817,7.437817,29141837708
2020-10-01,7.441898,7.672369,7.031194,7.169967,7.169967,36613477654
2020-10-02,7.171161,7.317712,6.634814,6.812659,6.812659,44179804839
2020-10-03,6.812659,6.977266,6.792220,6.869124,6.869124,24494107669
2020-10-04,6.869124,7.096939,6.810484,7.061080,7.061080,35371569689
2020-10-05,7.061080,7.234427,7.057689,7.142503,7.142503,31645936366
2020-10-06,7.138597,7.215071,6.784923,6.839848,6.839848,57693930128
2020-10-07,6.839848,6.924005,6.635363,6.889111,6.889111,30832411603
2020-10-08,6.889713,7.096640,6.657071,7.052842,7.052842,33530757341
2020-10-09,null,null,null,null,null,null
2020-10-10,7.403096,8.065158,7.401583,7.662742,7.662742,67395427780
2020-10-11,7.653809,7.942920,7.615785,7.778845,7.778845,58228051535
2020-10-12,null,null,null,null,null,null
2020-10-13,null,null,null,null,null,null
2020-10-14,8.024532,8.219376,7.749102,7.864384,7.864384,52279087725
2020-10-15,7.858523,7.903195,7.709606,7.823996,7.823996,41249257895
2020-10-16,7.832292,7.878128,7.521901,7.642895,7.642895,40656080664
2020-10-17,7.654248,7.857007,7.591636,7.792723,7.792723,34666192595
2020-10-18,7.788355,7.902668,7.734080,7.887023,7.887023,31790342535
2020-10-19,7.889033,8.137018,7.792639,7.976607,7.976607,36021572357
2020-10-20,7.971965,7.985241,7.435644,7.531346,7.531346,52021295501
2020-10-21,7.533169,7.975340,7.486343,7.828714,7.828714,57462633051
2020-10-22,7.819095,8.284122,7.778262,8.152145,8.152145,68812223466
2020-10-23,8.161488,8.230397,7.796861,7.980205,7.980205,82027778633
2020-10-24,7.980207,8.096799,7.940065,7.979635,7.979635,64102402702
2020-10-25,7.979635,8.027955,7.839796,7.852519,7.852519,53364554700
2020-10-26,7.852519,7.923630,7.354662,7.623897,7.623897,65091313971
2020-10-27,7.623896,7.778603,7.534209,7.589159,7.589159,67422733645
2020-10-28,7.589160,7.628963,7.079490,7.343232,7.343232,65045309583
2020-10-29,7.343237,7.456527,7.058838,7.084744,7.084744,65595531547
2020-10-30,7.084748,7.100452,6.741973,6.966610,6.966610,63853241000
2020-10-31,6.966610,7.108444,6.880023,6.943265,6.943265,49438546137
2020-11-01,6.943265,7.357697,6.928138,7.328974,7.328974,45495250697
2020-11-02,7.328967,7.458720,6.833700,6.860998,6.860998,60890410723
2020-11-03,6.860998,7.005801,6.541075,6.975988,6.975988,64181501316
2020-11-04,6.975993,7.121344,6.850916,7.075502,7.075502,77287326932
2020-11-05,7.075508,7.213361,6.825390,7.190918,7.190918,41108978839
2020-11-06,7.190896,8.114443,7.170636,8.071708,8.071708,53098578056
2020-11-07,8.071708,8.373738,7.354313,7.500142,7.500142,63759936790
2020-11-08,7.500142,8.011974,7.411322,7.887610,7.887610,46294476066
2020-11-09,7.887616,7.987276,7.520484,7.789588,7.789588,59334016426
2020-11-10,7.789633,8.056534,7.725030,7.859778,7.859778,52055664612
2020-11-11,7.859777,8.073708,7.840039,7.899025,7.899025,47080744126
2020-11-12,7.899016,7.951155,7.672909,7.827620,7.827620,47499235023
2020-11-13,7.827619,8.045566,7.792934,7.930142,7.930142,35617107649
2020-11-14,7.930142,7.963717,7.583173,7.766968,7.766968,32235705355
2020-11-15,7.766968,7.831018,7.364441,7.493379,7.493379,26707217128
2020-11-16,7.493379,7.807707,7.428145,7.740088,7.740088,29804468098
2020-11-17,7.849674,8.339819,7.816396,8.171245,8.171245,46415635609
2020-11-18,8.171238,8.306255,7.706118,7.899356,7.899356,51424983113
2020-11-19,7.899333,7.989542,7.764731,7.845003,7.845003,43770782243
2020-11-20,7.845013,8.768296,7.839225,8.767931,8.767931,51064979318
2020-11-21,8.767931,9.908381,8.660076,9.859552,9.859552,102719752753
2020-11-22,9.859552,11.327208,8.913624,10.734138,10.734138,170105190331
2020-11-23,10.734147,11.726576,10.560000,11.397230,11.397230,163605114585
2020-11-24,11.401783,13.467698,11.401783,12.301436,12.301436,189801334066
2020-11-25,12.303143,12.927328,11.061740,11.449483,11.449483,130833565484
2020-11-26,11.445435,11.822504,9.107888,10.209796,10.209796,186295560833
2020-11-27,10.210620,10.677074,9.702812,10.427122,10.427122,111326768613
2020-11-28,10.430500,12.689664,10.320445,12.188339,12.188339,142919050905
2020-11-29,12.198084,12.616175,11.657552,12.322853,12.322853,128030573566
2020-11-30,12.322187,12.773401,11.882929,12.676901,12.676901,159218788356
2020-12-01,12.681251,12.865082,10.793848,11.491258,11.491258,152611618236
2020-12-02,11.489288,11.776890,11.144894,11.679784,11.679784,100741004671
2020-12-03,11.682364,12.394601,11.519876,12.141711,12.141711,95228364151
2020-12-04,12.141518,12.150364,10.845717,10.939980,10.939980,88604144847
2020-12-05,10.934271,11.909814,10.833291,11.783255,11.783255,76462684983
2020-12-06,11.782569,11.985335,11.322908,11.724839,11.724839,65399617813
2020-12-07,11.725550,11.737727,11.203416,11.376385,11.376385,58267662554
2020-12-08,11.376114,11.429718,10.247201,10.390065,10.390065,69240733217
2020-12-09,10.391052,11.051824,9.596653,10.937175,10.937175,97494717351
2020-12-10,10.937519,10.964106,10.317155,10.478121,10.478121,58927076365
2020-12-11,10.480140,10.521978,9.977626,10.282731,10.282731,51974775478
2020-12-12,10.280788,10.858638,10.264864,10.652220,10.652220,38327741556
2020-12-13,10.655373,11.522272,10.579716,11.353396,11.353396,49776729184
2020-12-14,11.357221,11.637166,11.016243,11.636477,11.636477,43239587038
2020-12-15,11.641853,11.763214,11.283535,11.345393,11.345393,44643675316
2020-12-16,11.345875,12.336296,11.025986,12.335524,12.335524,71890823751
2020-12-17,12.334202,12.822618,11.886767,12.020884,12.020884,87407162165
2020-12-18,12.018390,12.405380,11.702636,12.144301,12.144301,81042811597
2020-12-19,12.143681,12.548987,12.021540,12.124089,12.124089,43184169739
2020-12-20,12.125119,12.345662,11.679409,11.921779,11.921779,53665934142
2020-12-21,11.922929,12.197526,10.950936,11.286701,11.286701,84279178212
2020-12-22,11.285095,11.817878,11.043265,11.576237,11.576237,84379963996
2020-12-23,11.579680,11.632892,9.409337,10.071346,10.071346,109612101700
2020-12-24,10.076004,11.352778,9.756265,11.245826,11.245826,108151997051
2020-12-25,11.246003,12.274089,11.071276,11.590243,11.590243,82380090881
2020-12-26,11.589681,11.915204,11.020916,11.609365,11.609365,87680207124
2020-12-27,11.610181,12.199287,11.105426,11.384799,11.384799,116364562754
2020-12-28,11.386157,13.134585,11.312773,12.997972,12.997972,127391323879
2020-12-29,12.996061,14.398171,12.776291,14.112158,14.112158,217939854466
2020-12-30,14.101713,14.184154,12.879822,13.469811,13.469811,135359302340
2020-12-31,13.469388,13.566504,12.887207,13.252398,13.252398,82720585183
2021-01-01,13.251313,13.459964,12.573525,12.816721,12.816721,82025438929
2021-01-02,12.817374,13.467462,12.369596,12.968210,12.968210,102975980126
2021-01-03,12.965219,15.251713,12.672448,14.982499,14.982499,168382095240
2021-01-04,15.000089,17.498594,14.197664,16.427826,16.427826,238323671232
2021-01-05,16.431797,19.374149,15.240617,18.900358,18.900358,299785498275
2021-01-06,18.917599,25.327429,18.762007,24.275869,24.275869,451361265558
2021-01-07,24.303171,25.846127,20.815620,22.032158,22.032158,378184702020
2021-01-08,22.062073,23.450972,19.562485,22.424513,22.424513,334660752606
2021-01-09,22.425549,24.845604,21.771238,24.433014,24.433014,268242714680
2021-01-10,24.432156,24.977564,20.880245,22.366007,22.366007,273832744652
2021-01-11,22.373388,22.373388,17.129145,20.251881,20.251881,350596416899
2021-01-12,20.235973,22.976425,19.530390,20.993196,20.993196,295313280883
2021-01-13,20.970154,23.009413,19.925917,22.946781,22.946781,194408069360
2021-01-14,22.942200,23.649895,21.909370,22.686985,22.686985,196378527100
2021-01-15,22.698557,24.095758,20.542820,22.133574,22.133574,232067151478
2021-01-16,22.132233,26.722670,22.113098,25.774406,25.774406,327343961177
2021-01-17,25.766565,28.940489,25.071613,27.784744,27.784744,410897379413
2021-01-18,27.776136,28.931231,26.824249,27.184603,27.184603,254719976540
2021-01-19,27.186728,28.036154,26.603081,27.017963,27.017963,216462678274
2021-01-20,27.003271,27.428989,24.227936,27.369648,27.369648,239258735414
2021-01-21,27.373676,27.611519,21.989487,22.631323,22.631323,260296885664
2021-01-22,22.620020,26.213970,20.688400,25.518875,25.518875,296831783674
2021-01-23,25.500999,26.076185,24.578936,25.231768,25.231768,203013810166
2021-01-24,25.227587,26.910456,24.728962,25.831854,25.831854,185384951965
2021-01-25,25.829584,26.538210,24.926498,25.093550,25.093550,170737733114
2021-01-26,25.090290,25.521732,23.757547,25.101568,25.101568,186511155286
